,lyrics,artist,song,album_name,genres,spotify_id,popularity,release,danceability,energy,key,mode,valence,tempo,duration_ms
9641,"Hoje vamos desejar o bem
Sem olhar a quem
Acabar com a solidão
No ato de estender a mão

Peça tudo o que você quiser
Acredite na sua fé
Paz, saúde, vigor
Sucesso, alegria, esperança, amor

Aproveite todas as sensações
Sinta a chuva te molhar
E quando o sol chegar
Deixa esquentar

Tenha dentro do seu coração
Pureza e verdade
O que você transmitir
Volta com intensidade

Quando não souber o que pedir
Peça felicidade
Quando não souber o que doar
Doe sua metade

E depois
Vai sentir a energia (Pá, pá)
E satisfação de ver nascer um novo dia

Oh oh oh, oh oh ooh
Oh oh oh, oh oh ooh

Aproveite todas as sensações
Sinta a chuva te molhar
E quando o sol chegar
Deixa esquentar

Tenha dentro do seu coração
Pureza e verdade
O que você transmitir
Volta com intensidade

Quando não souber o que pedir
Peça felicidade
Quando não souber o que doar
Doe sua metade

E depois
Vai sentir a energia
E satisfação de ver nascer um novo dia

Oh oh oh, oh oh ooh
Oh oh oh, oh oh ooh

Oh oh oh, oh oh ooh
Oh oh oh, peça felicidade",Melim,Peça Felicidade,Peça Felicidade (Acústico),"pop,reggae",0x0nvnWLItdxqHNhUHj6Yn,62.0,2016,0.516,0.378,8.0,0.0,0.7509999999999999,144.06799999999996,136549
9658,"Eu sei que cada um só tem a vista da montanha que escalar
Por isso todo dia eu me preocupo em fazer a coisa certa
E mesmo assim, infelizmente, as vezes não parece adiantar
Porque o mundo tá tão louco e as pessoas andam tão estranhas

Me disse ainda passa um medo de não ser o melhor de mim
E se a gente se cobra menos em algum momento disso aqui
Me diz?

Quando já não sei qual é a direção
E tudo que posso é seguir meu coração
Então me viro e giro para onde gira o sol
Quando já não sei qual é a direção
E tudo que posso é seguir meu coração
É por instinto...
Que eu encontro a luz, sou girassol

Eu quero aquela vida que a gente inventa antes de dormir
Mas pra dar certo sei que tenho que acordar tomando atitude
O tempo não me espera só porque quero jogar tudo pro ar
E quase sempre é em desistência que o fracasso se resume
Me disse ainda passa um medo de não ser o melhor de mim
E se a gente se cobra menos em algum momento disso aqui
Me diz?

Quando já não sei qual é a direção
E tudo que posso é seguir meu coração
Então me viro e giro para onde gira o sol
Quando já não sei qual é a direção
E tudo que posso é seguir meu coração
É por instinto...
Que eu encontro a luz, sou girassol

É por instinto...
Que eu encontro a luz
Sou girassol",Kell smith,Girassol,Girassol,"mpb,pop",5d4KxCk9H3pH75V0UrFs8I,56.0,2018,0.685,0.458,3.0,1.0,0.159,94.867,224000
9708,"Corre, corre, corre Erê
Corre, corre, corre Erê
Corre, corre, corre Erê
Vou lá, vou lá voilà
Pode abrir a ala
Sangue na agô vai chegar
Ginga de sarará
Já anunciou
Alá me tocou
Quem se preparou juntou tudo e foi lá
Sem mosca bobo os caqui ia
colá levada monstra do K mandinga não vai pegá
Sem mosca bobo os caqui ia
colá levada monstra do K mandinga não vai pegá
Corre, corre, corre Erê
Corre, corre, corre Erê
Corre, corre, corre Erê
O mundo é meu, o mundo é seu também
O mundo é seu, o mundo é meu também
O mundo é meu, o mundo é seu também
Deixa ele correr, deixa ele correr",Karol Conká,"Corre, Corre Erê",Batuk Freak (Instrumentals),rap,4jOzbgZsy89TnOIg596ci4,5.0,2013,0.667,0.723,7.0,1.0,0.81,142.967,176065
9724,"Eu não quero confessar
Eu sei, não quero me entregar tão fácil
Mas você chega devagar
Com esse jeito de me olhar bem fundo
E a minha timidez vai embora, eu sei
Eu te quero pra mim

Não dá pra resistir ao teu amor
Você me olha assim
Baby, eu vou
Teus beijos só pra mim e teu sabor
Não dá pra resistir

Preciso ter o seu amor

Nos meus olhos, nos meus sonhos
Minha fantasia é ter você
E quando você está aqui
Tudo o que eu quero é me entregar pra você
Deixar meu coração me levar pra você
Não quero mais parar

Não dá pra resistir ao teu amor
Você me olha assim
Baby, eu vou
Teus beijos só pra mim e teu sabor
Não dá pra resistir
Preciso ter o seu amor

Ná Ná, Ná Ná, Ná
O seu amor! O seu amor!

Eu sei
Que a força desse amor atrai
Você pra mim
Eu vou
Roubar seu coração
Com você é pura paixão
É pura paixão

Não dá pra resistir ao teu amor
Você me olha assim
Baby, eu vou
Teus beijos só pra mim e teu sabor
Não dá pra resistir
Preciso ter o seu amor

O seu amor, o seu amor, o seu amor
Não dá pra resistir
O seu amor, o seu amor, o seu amor
Não dá pra resistir.",Rouge,Não Dá Pra Resistir (Irresistable),Rouge,"pop,pop",4M9tSuvg2MJOtIQmRmEFAy,36.0,2002,0.732,0.8079999999999999,1.0,1.0,0.8240000000000001,95.139,177027
9808,"Quando o segundo sol chegar
Para realinhar as órbitas dos planetas
Derrubando com assombro exemplar
O que os astrônomos diriam se tratar de um outro cometa
Quando o segundo sol chegar
Para realinhar as órbitas dos planetas
Derrubando com assombro exemplar
O que os astrônomos diriam se tratar de um outro cometa

Não digo que não me surpreendi
Antes que eu visse, você disse e eu não pude acreditar

Mas você pode ter certeza
Que seu telefone irá tocar
Em sua nova casa que abriga agora a trilha
Incluída nessa minha conversão
Eu só queria te contar
Que eu fui lá fora e vi dois sóis num dia
E a vida que ardia sem explicação

Quando o segundo sol chegar
Para realinhar as órbitas dos planetas
Derrubando com assombro exemplar
O que os astrônomos diriam se tratar de um outro cometa

Não digo que não me surpreendi
Antes que eu visse, você disse e eu não pude acreditar

Mas você pode ter certeza
Que seu telefone irá tocar
Em sua nova casa que abriga agora a trilha
Incluída nessa minha conversão
Eu só queria te contar
Que eu fui lá fora e vi dois sóis num dia
E a vida que ardia sem explicação
Que seu telefone irá tocar
Em sua nova casa que abriga agora a trilha
Incluída nessa minha conversão
Eu só queria te contar
Que eu fui lá fora e vi dois sóis num dia
E a vida que ardia sem explicação

Explicação
Não tem explicação
Explicação
Sem tem explicação
Explicação, não tem
Não tem explicação
Explicação, não tem
Explicação, não tem, não tem",Cássia Eller,O segundo sol (ao vivo),Pop Brasil das Antigas,"mpb,rock",7lVVkbh0zWFded7T33QaBo,27.0,2019,0.465,0.635,0.0,1.0,0.466,151.303,256667
9812,"Falando em saudade
De novo eu acordei pensando em você
Já faz um mês que não te vejo
Trinta dias que eu acordo pensando em você

Não sei se você está bem
Se está gostando de outro alguém
O corte do cabelo tá mesmo jeito
Aparentemente, tudo igual
Vi a foto sua com aquela roupa
Mas parecia que faltava alguma coisa
Nos traços do sorriso deu pra perceber
O que será tá faltando em você?

O que falta em você sou eu
Seu sorriso precisa do meu
Sei que tá morrendo de saudade
Vem buscar logo a sua metade
O que falta em você sou eu
Seu sorriso precisa do meu
Sei que tá morrendo de saudade
Vem buscar logo a sua metade

Ai ai ai ai ai ai ai ai ai
Ai ai ai ai ai ai ai ai ai
Falando em saudade
Vem buscar logo a sua metade

Ai ai ai ai ai ai ai ai ai
Ai ai ai ai ai ai ai ai ai
Falando em saudade
Vem buscar logo a sua metade

O que falta em você sou eu
Seu sorriso precisa do meu
Sei que tá morrendo de saudade
Vem buscar logo a sua metade
O que falta em você sou eu
Seu sorriso precisa do meu
Sei que tá morrendo de saudade
Vem buscar logo a sua metade

Ai ai ai ai ai ai ai ai ai
Ai ai ai ai ai ai ai ai ai
Falando em saudade
Vem buscar logo a sua metade

Ai ai ai ai ai ai ai ai ai
Ai ai ai ai ai ai ai ai ai
Falando em saudade
Tá aqui comigo a sua metade",Marília Mendonça,O que falta em você sou eu,Marília Mendonça - Ao Vivo,sertanejo,3XSefjiSHsD34F7clH84xa,58.0,2016,0.67,0.6709999999999999,0.0,1.0,0.5329999999999999,143.941,197917
10656,"Hoje eu vou sair pra encontrar o amor
Espero a tanto tempo e ainda não rolou
O vento diz que é hoje em meio a multidão
Que eu vou encontrar a dona do meu coração
Ai sempre
Sorrir e chorar e ter alguém pra compartilhar
Sempre
Viver para alguém que me ama e dividir
Sempre
Felicidade e amor
Então

Me encontra, ou deixa eu te encontrar
Me encontra, ou deixa eu te encontrar
Me encontra, ou deixa eu te encontrar
Me encontra, ou deixa eu te encontrar

Eu não conheço todas as flores
Mas vou mandar todas que eu puder
Vivemos tempos de loucos amores
Só é feliz quem sabe o que quer

Me encontra, ou deixa eu te encontrar
Me encontra, ou deixa eu te encontrar
Me encontra, ou deixa eu te encontrar
Me encontra, ou deixa eu te encontrar

Fico pensando onde está você
E se você estaria pensando em me encontrar
Como sou, onde estou, e onde quero chegar?
Como sou, como é que vai ser, e onde vou te levar?
Mas se você me ver, pode acenar pra mim
Já pensou que louco te encontrar assim?
Eu vou na boa vou na fé sei que vou te encontrar
E quando eu te encontrar nós vamos comemorar!

Me encontra, ou deixa eu te encontrar
Me encontra, ou deixa eu te encontrar
Me encontra, ou deixa eu te encontrar
Me encontra, ou deixa eu te encontrar",Charlie Brown JR.,Me Encontra - Ao Vivo,Música Popular Caiçara (Ao Vivo),"rock,brazilian rock,pop rock,rock,brazilian rock",4xTXvDVSn9fixWGiwcfJk6,30.0,2012,0.36,0.955,8.0,1.0,0.38,96.043,198391
10786,"Estou Cansado E Você Também
Vou Sair Sem Abrir A Porta
E Não Voltar Nunca Mais
Desculpe A Paz Que Lhe Roubei
E O Futuro Esperado Que Nunca Lhe Dei
É Impossível Levar Um Barco Sem Temporais
E Suportar A Vida Como Um Momento Além Do Cais
Que Passa Ao Largo Do Nosso Corpo
Não Quero Ficar Dando Adeus
As Coisas Passando
Eu Quero É Passar Com Elas
E Não Deixar Nada Mais Do Que Cinzas De Um Cigarro
E A Marca De Um Abraço No Seu Corpo
Não, Não Sou Eu Quem Vai Ficar No Porto Chorando
Lamentando O Eterno Movimento Dos Barcos.",JARDS MACALÉ,Movimento dos Barcos,Anos 70,"jazz,mpb",07gP6EgikcXS6aZZbtPD6x,23.0,2016,0.536,0.0473,6.0,1.0,0.253,88.62100000000002,165000
10884,"Todos os dias quando acordo
Não tenho mais o tempo que passou
Mas tenho muito tempo
Temos todo o tempo do mundo

Todos os dias antes de dormir
Lembro e esqueço como foi o dia
Sempre em frente
Não temos tempo a perder

Nosso suor sagrado
É bem mais belo que esse sangue amargo

E tão sério
E selvagem
Selvagem
Selvagem

Veja o sol dessa manhã tão cinza
A tempestade que chega é da cor
Dos teus olhos castanhos

Então me abraça forte
Me diz mais uma vez
Que já estamos distantes de tudo

Temos nosso próprio tempo
Temos nosso próprio tempo
Temos nosso próprio tempo

Não tenho medo
Do escuro
Mas deixe
As luzes
Acesas
Agora

O que foi escondido
É o que se escondeu
E o que foi prometido
Ninguém prometeu

Nem foi tempo perdido
Somos tão jovens
Tão jovens
Tão jovens",Legiăo Urbana,Tempo Perdido,Dois,post-punk,7MnT7msJZg3XBAS0OTfGrB,64.0,1986,0.293,0.662,4.0,0.0,0.221,186.007,302200
10959,"Quinze minutos de fama
Mais um pros comerciais
Quinze minutos de fama
Depois descanse em paz

O gênio da última hora
É o idiota do ano seguinte
O último novo rico
É o mais novo pedinte

A melhor banda de todos os
Tempos da última semana
O melhor disco brasileiro
De música americana

O melhor disco dos últimos anos
De sucessos do passado
O maior sucesso de todos os
Tempos entre os dez maiores fracassos

Não importa a contradição
O que importa é televisão
Dizem que não há nada a que você não se acostume
Cala a boca e aumenta o volume então

As músicas mais pedidas
Os discos que vendem mais
As novidades antigas
Nas páginas dos jornais

Um idiota em inglês
Se é idiota é bem menos que nós
Um idiota em inglês
É bem melhor do que eu e vocês

A melhor banda de todos os
Tempos da última semana
O melhor disco brasileiro
De música americana

O melhor disco dos últimos anos
De sucessos do passado
O maior sucesso de todos os
Tempos entre os dez maiores fracassos

Não importa a contradição
O que importa é televisão
Dizem que não há nada a que você não se acostume
Cala a boca e aumenta o volume então

Os bons meninos de hoje
Eram os rebeldes da outra estação
O ilustre desconhecido
É o novo ídolo do próximo verão

A melhor banda de todos os
Tempos da última semana
O melhor disco brasileiro
De música americana

O melhor disco dos últimos anos
De sucessos do passado
O maior sucesso de todos os
Tempos entre os dez maiores fracassos",Titãs,A melhor banda de todos os tempos da última semana,A Melhor Banda De Todos Os Tempos Da Última Semana,"brazilian rock,rock nacional,rock",35J9vakuC3f18QTolNAQ6E,63.0,2001,0.723,0.611,7.0,1.0,0.261,111.813,175373
11224,"É tão lindo seu rostinho, quero te fazer carinho, te por pra nanar.
Desse clima de romance vejo as suas nuances cores do abadá.
Eu não sou Seu Jorge nem pareço com Alcione, não tem nem comparação.
Não sou mãe de santo, mas entendo os búzios do seu coração.
É tão lindo seu rostinho, quero te fazer carinho, te por pra nanar.
Desse clima de romance vejo as suas nuances cores do abadá.
Eu não sou Seu Jorge nem pareço com Alcione, não tem nem comparação.
Não sou mãe de santo, mas entendo os búzios do seu coração.

Oh oh oh oh
O meu destino é você, saiu nas cartas, bebê.
Oh oh oh oh
Tarô não pode mentir, de mim não dá pra fugir.
Oh oh oh oh
Não adianta tentar, o amor veio pra ficar.
Oh oh oh oh
Eu não consigo esquecer, já tá grudado em meu ser.

É tão lindo seu rostinho, quero te fazer carinho, te por pra nanar.
Desse clima de romance vejo as suas nuances cores do abadá.
Eu não sou Seu Jorge nem pareço com Alcione, não tem nem comparação.
Não sou mãe de santo, mas entendo os búzios do seu coração.
Oh oh oh oh
O meu destino é você, saiu nas cartas, bebê.
Oh oh oh oh
Tarô não pode mentir, de mim não dá pra fugir.
Oh oh oh oh
Não adianta tentar, o amor veio pra ficar.
Oh oh oh oh

Eu não consigo esquecer, já tá grudado em meu ser.
Tudo que eu sinto é tão natural, vamos adentrar o portal do amor
Toda suadinha vem, faz uó. Você é minha lua e amor eu sou seu Sol
Sou seu Sol, seu Sol
Você é minha lua e eu sou seu Sol
Sou seu Sol, seu Sol (tudo o que eu sinto é tão natural)
Sou seu Sol, seu Sol (é natural)
Você é minha lua e eu sou seu Sol.",Banda Uó,Búzios do Coração,Motel,brega,6pm28zwDGE8PpoxUFV861g,37.0,2012,0.648,0.606,9.0,1.0,0.472,99.963,201867
11325,"Nosso sonho
Se perdeu no fio da vida
E eu vou embora
Sem mais feridas
Sem despedidas
Eu quero ver o mar
Eu quero ver o mar
Eu quero ver o mar

Se voltar desejos
Ou se eles foram mesmo
Lembre da nossa música
Música
Se lembrar dos tempos
Dos nossos momentos
Lembre da nossa música
Música

Nossas juras de amor
Já desbotadas
Nossos beijos de outrora
Foram guardados
Nosso mais belo plano
Desperdiçado
Nossa graça e vontade
Derretem na chuva

Se voltar desejos
Ou se eles foram mesmo
Lembre da nossa música
Música
Se lembrar dos tempos
Dos nossos momentos
Lembre da nossa música
Música

Um costume de nós
Fica agarrado
As lembranças, os cheiros.
Dilacerados
Nossa bela história
Está no passado
O amor que me tinhas
Era pouco e se acabou

Se voltar desejos
Ou se eles foram mesmo
Lembre da nossa música
Música
Se lembrar dos tempos
Dos nossos momentos
Lembre da nossa música
Música",Vanessa da Mata,Música,Caixinha de Música (Ao Vivo),mpb,2hF5LOXCtxjF3WOG2GUAry,48.0,2017,0.467,0.536,1.0,1.0,0.303,150.81,246466
11356,"Mais uma dose?
É claro que eu estou a fim
A noite nunca tem fim
Por que que a gente é assim?

Agora fica comigo
E vê se não desgruda de mim
Vê se ao menos me engole
Mas não me mastiga assim

Canibais de nós mesmos
Antes que a terra nos coma
Cem gramas, sem dramas
Por que que a gente é assim?

Mais uma dose?
É claro que eu tô a fim
A noite nunca tem fim
Baby, por que a gente é assim?

Você tem exatamente
Três mil horas pra parar de me beijar
Hum, meu bem, você tem tudo, tudo
Pra me conquistar

Mas você tem apenas um segundo
Um segundo pra aprender a me amar
Você tem a vida inteira, baby, a vida inteira
Pra me devorar
Pra me devorar!

Mais uma dose?
É claro que eu tô a fim
A noite nunca tem fim
Por que a gente é assim?",Barão Vermelho,Por Que A Gente É Assim?,Maior Abandonado,brazilian rock,1PGIOBS3PCxqXhezIo5PLZ,43.0,1984,0.8,0.446,7.0,1.0,0.718,107.704,271533
11364,"Libertar-se do mal e só se ocupar com o bem
Encontrar o real é não odiar ninguém
Eu ouvi sua voz a me chamar
Me deixei saltar em sua direção

Saltar em sua direção
Pra descobrir quem é você",Rancore,Liberta,Liberta,"hardcore,melodic hardcore",4NivLWiaLhhtVH5xNpm7zr,24.0,2008,0.288,0.741,6.0,1.0,0.273,150.88,232627
11603,"Ô menina, parece índia Ianomami seu cabelo preto breu
Simula um toque, que desabroche
Esse teu casto mastigado pelo meu
Se quer tamanho vou despir a alma
E afogar a calma salivando um beijo teu
Siga a seta e diga que sou seu

Ô menina, parece índia Ianomami seu cabelo preto breu
Simula um toque, que desabroche
Esse teu casto mastigado pelo meu
Se quer tamanho vou despir a alma
E afogar a calma salivando um beijo teu
Siga a seta e diga que sou seu

Venha sem chão me ensina a solidão de ser só dois
Depois te levo pra casa
Que o teu laranja é que me faz ficar bem mais

Ô menina, parece índia Ianomami seu cabelo preto breu
Simula um toque, que desabroche
Esse teu casto mastigado pelo meu
Se quer tamanho vou despir a alma
E afogar a calma salivando um beijo teu
Siga a seta e diga que sou seu

Venha sem chão me ensina a solidão de ser só dois
Depois te levo pra casa
Que o teu laranja é que me faz ficar bem mais

Se quer tamanho vou despir a alma
E afogar a calma salivando um beijo teu
Siga a seta e diga que sou seu

Se quer tamanho vou despir a alma
E afogar a calma salivando um beijo teu
Siga a seta e diga que sou seu
Siga a seta e diga que sou seu
Siga a seta e diga que sou seu",Maria Gadú,Laranja,Maria Gadú,mpb,5rSO4vLLJU6i6mQ5kYQWVq,44.0,2009,0.8240000000000001,0.479,4.0,0.0,0.546,97.918,184600
11819,"Corta essa ""Don Juan""
Conquistador barato
Eu já puxei a sua ficha
Com todas
Faz Gato e sapato
Chega mansinho, sapiente
Promete até casar
Depois da presa devorada
Joga tudo o que disse
Pro ar...

Vê se te manca
Solta de banda
Não faz sentido
Namorar você
Sujeito esperto
Vai pro inferno
Vai azarar outra por lá...

Não vem me paquerar
Não vem me engabelar
Você não tem guariba
Sou do signo de libra
Escorpião chega prá lá
Não vem me paquerar
Não vem me engabelar
Janeiro, fevereiro
Março, abril
Maio, junho
Até dezembro vai cansar
Cansar de esperar
Porque não vai rolar
É melhor você tomar
Chá de simancol...",Companhia do Calypso,Chá de Simancol - Ao Vivo,10 Anos (Ao Vivo),"calypso,forro,merengue,calypso,forro,merengue",7HWVbVIFGYEb3S8Cf6Iet2,29.0,2013,0.6409999999999999,0.851,10.0,1.0,0.8440000000000001,164.958,412526
11873,"Sigo a linha do trem que é pra ter onde ir
Devagar é melhor, eu posso te ouvir uivar
O cara estranho que eu fingi não ser
Já renasceu, talvez eu possa descansar

Qual a graça em se comprometer
Quando eu tenho o mundo pra ver?
Aaaah, uoooh
Aaaah, uoooh
E quando a gente dança e se perde
As montanhas se estremecem
Aaaah, uooo
Auuuuu

Eu podia ficar lento, só perdido
Mas é que solto eu fico muito mais bonito
Eu podia ficar lento, só perdido
Mas é que solto eu fico muito mais bonito

Quero sentir mais, eu
Quero beber mais, eu
Quero correr mais
Escapar na madrugada
Sentir o ar gelado
Inflar o meu peito e gritar

Nada do que você diz
Faz sentido algum
Porque eu tenho a minha própria caminhada

Qual a graça em se comprometer
Quando eu tenho o mundo pra ver?
Aaaah, uooo
Aaaah, uoooh
E quando a gente dança e se perde
As montanhas se estremecem
Aaaah, uooo
Auuuuu

Eu podia ficar lento, só perdido
Mas é que solto eu fico muito mais bonito
Eu podia ficar lento, só perdido
Mas é que solto eu fico muito mais bonito

Nada do que você diz
Faz sentido algum
Porque eu tenho a minha própria caminhada

Eu podia ficar lento, só perdido
Mas é que solto eu fico muito mais bonito

Uoooooh
Uoooooh
Uoooh Uuuuh",Jão,Lobos,LOBOS,"pop,indie pop,pop",1XVN2BVHfKUUcMH0jxSRZ5,58.0,2018,0.8140000000000001,0.6459999999999999,10.0,1.0,0.753,126.034,174519
12084,"Nas favelas, no senado
Sujeira pra todo lado
Ninguém respeita a constituição
Mas todos acreditam no futuro da nação
Que país é esse?

Que país é esse?
Que país é esse?

No Amazonas, no Araguaia, na Baixada fluminense
No Mato grosso, Minas Gerais e no Nordeste tudo em paz
Na morte eu descanso mas o sangue anda solto

Manchando os papéis, documentos fiéis
Ao descanso do patrão
Que país é esse?
Que país é esse?
Que país é esse?
Que país é esse?

Terceiro Mundo se for
Piada no exterior
Mas o Brasil vai ficar rico
Vamos faturar um milhão
Quando vendermos todas as alma
Dos nossos índios num leilão
Que país é esse?
Que país é esse?
Que país é esse?
Que país é esse?",Legião Urbana,Que pais é este,Que Pais E Este,"rock,brazilian rock,mpb",1bqRtNOcT1QiV1j87IoATA,54.0,1987,0.439,0.716,0.0,1.0,0.4,145.58100000000005,178733
12244,"Vai segurando, moleque
Anitta
Mc Guimê, wow

Chega, fecha o closet na maldade
Que hoje eu vou pegar você
Hoje eu vou pegar você
Hoje eu vou pegar
Vem, que eu já tô cheia de vontade
De fazer acontecer
Hoje eu vou te enlouquecer
Hoje eu vou te enlouquecer
Vem, chega mais perto
Vai, fica à vontade
É que eu tô querendo a noite toda
Não, não para agora
Vai, se movimenta
Vem, que eu não tô aqui à toa
Pode vir que vai começar
Não tem mais jeito
E não adianta tentar
Já foi, tá feito
Esse som é pra dominar
Teu pensamento
Vem que eu vou te hipnotizar
No meu talento
Pode vir que vai começar
Não tem mais jeito
E não adianta tentar
Já foi, tá feito
Esse som é pra dominar
Teu pensamento
Vem que eu vou te hipnotizar
No meu talento
Chega, fecha o closet na maldade
Que hoje eu vou pegar você
Hoje eu vou pegar você
Hoje eu vou pegar
Vem que eu já tô cheia de vontade
De fazer acontecer
Hoje eu vou te enlouquecer
Hoje eu vou te enlouquecer
Vem, chega mais perto
Vai, fica à vontade
É que eu tô querendo a noite toda
Não, não para agora
Vai, se movimenta
Vem que eu não tô aqui à toa

Que se exploda o resto perante a gente
O resto é resto, não é gente da gente
Aguardar mais um verso pra entrar na sua mente
Dance, dance, dance

O clima fica quente quando você vem
Você me querendo, te quero também
São várias correntes e nota de 100
Ei, hahaha
Não tem hora pra acabar, pois é só o começo
Então vem logo aqui me pegar, depois te agradeço
Desse jeito se eu conheço
Faz a eternidade em simples momentos
Gata, me cata, me trata, me mata
No seu talento

Pode vir que vai começar
Não tem mais jeito
E não adianta tentar
Já foi, tá feito
Esse som é pra dominar
Teu pensamento
Vem que eu vou te hipnotizar
No meu talento

RJ, SP, Brasil
Vai segurando",Anitta,No Meu Talento - Participação Especial de MC Guimê,Ritmo Perfeito,"pop,funk",0SJp4OIdSFE4xenhlGoKLU,43.0,2014,0.816,0.812,3.0,0.0,0.818,131.016,178164
12480,"Em alguns bilhões de anos
Vamos nos mudar daqui
O sol vai explodir
E a terra vai sumir

As idéias muito simples
São difíceis de aceitar
Ir à praia
E mergulhar no mar
Antes de tudo se acabar

Quando o céu tá carregado
É sinal q vai chover
Não é tão complicado
Ter prazer em dar prazer

Pega vida em mim
Tenta a sorte em mim
Salva o que é seu em mim
Pega vida em mim
Zera o jogo em mim
Cuida do que é seu em mim

Não é bem felicidade
Mas ainda fico a fim
Querer o que se pode
É liberdade sim

As idéias muito simples
São difíceis de aceitar
...dar um beijo
E se deixar levar
Antes de tudo se acabar
Quando o céu tá carregado
É sinal q vai chover
Não é tão complicado
Ter prazer em dar prazer
Pega vida em mim
Tenta a sorte em mim
Salva o que é seu em mim
Pega vida em mim
Zera o jogo em mim
Cuida do que é seu em mim
Em alguns bilhões de anos",Kid Abelha,Pega Vida,Pega Vida,pop rock,4m0QjA2G8GeAmrOgQs6yoQ,32.0,2005,0.626,0.792,2.0,1.0,0.867,117.017,189933
12727,"Facção Carinhosa, ê ê
Bêbado e alado
Bêbado e alado

Sinto que os deuses tem medo de mim
Medo de mim
Metade homem, metade Deus
E os dois sentem medo de mim
Sinto que o mundo tem medo de mim
Medo de mim
Metade homem, metade Deus
E os dois sentem medo de mim
Sinto que o mundo tem medo de mim
Medo de mim, medo de mim
Metade homem, metade Deus
E os dois sentem medo de mim
Medo de mim, medo de mim
Medo de mim, medo de mim
Medo de mim, medo de mim

Componho pra não me decompor
Poeta maldito perito na arte
De Arthur Rimbaud
Garçom, traz outra dose, por favor
Que eu tô
Entre o Machado de Assis e o de Xangô
Soneto de boêmia poesia, melancolia
Eu sou do tempo onde
Poetas ainda faziam poesia
Saravá!

O canto de Ossanha vem me matando
E quem canta os males espanta
Não tá mais adiantando
Aqui, se escuta o batuque do trovão
Thor e seu martelo, Jorge e o seu dragão
Ciranda do céu, rave de tambor
Os deuses queriam chorar por amor
Aqui, se escuta o batuque do trovão
Thor e seu martelo, Jorge e o seu dragão
Ciranda do céu, rave de tambor
Os deuses queriam chorar por amor

Sinto que os deuses tem medo de mim
Medo de mim
Metade homem, metade Deus
E os dois sentem medo de mim
Sinto que o mundo tem medo de mim
Medo de mim
Metade homem, metade Deus
E os dois sentem medo de mim
Sinto que o mundo tem medo de mim
Medo de mim, medo de mim
Metade homem, metade Deus
E os dois sentem medo de mim
Medo de mim, medo de mim
Medo de mim, medo de mim
Medo de mim, medo de mim

Os deuses são
Poetas vadios
Cochilam na ilha da linha do
Traço sua caneta no cio
Tem um toque macio
Se encurvam na estrutura da cura do abraço
Já eu sou poesia, tabaco e vinho
Dionísio e Baco, sozinho
No mesmo espaço
Hórus fora do ninho
Abro o seu caminho
Eu sou o canto do mundo
E nesse canto do mundo eu me refaço
Dance com as musas entre
Os bosques e vinhedas
Nesse sertão veredas
O sentir é um mar profundo
Nele me afundo até o fundo
Insatisfeito com o tamanho do mundo
Por isso o papel ficou pequeno
Escrevo em paredes
Em corpos e na plebe
Na pele na linha tênue da epiderme
Da alma calma das linhas
Curvas das coxas de Vênus
Ao menos meu destino não
Esta em um astro, casto
Basta, basto
Astrólogos, diálogos diversos
Imerso no teor complexo
Que nos consome
A dor some
Ao ver que os deuses tem
Inveja dos homens

O mundo é fruto da nossa imaginação
Será que somos deuses ou a sua criação?
O mundo é fruto da nossa imaginação
Será que somos deuses ou sua criação?
Sua criação, sua criação
Nós somos deuses ou sua criação
Sua criação, sua criação
Nós somos deuses ou a sua criação",Baco Exu do Blues,ESÚ,Esú,rap,5B4611SCn4puXahrf7rqkj,62.0,2017,0.774,0.234,6.0,0.0,0.277,100.044,290400
